threshold,precision,recall,f1-score
0.05,0.8367346938775511,0.8118811881188119,0.8241206030150754
0.048,0.8282828282828283,0.8118811881188119,0.82
0.059,0.8350515463917526,0.801980198019802,0.8181818181818182
0.06,0.8350515463917526,0.801980198019802,0.8181818181818182
0.073,0.8421052631578947,0.7920792079207921,0.8163265306122449
0.042,0.8058252427184466,0.8217821782178217,0.8137254901960784
0.04,0.7980769230769231,0.8217821782178217,0.8097560975609757
0.133,0.8461538461538461,0.7623762376237624,0.8020833333333334
0.027,0.7657657657657657,0.8415841584158416,0.8018867924528302
0.144,0.8539325842696629,0.7524752475247525,0.8
0.145,0.8539325842696629,0.7524752475247525,0.8
0.03,0.7706422018348624,0.8316831683168316,0.8
0.113,0.8369565217391305,0.7623762376237624,0.7979274611398963
0.02,0.717741935483871,0.8811881188118812,0.7911111111111111
0.209,0.8571428571428571,0.7128712871287128,0.7783783783783784
0.022,0.7203389830508474,0.8415841584158416,0.776255707762557
0.018,0.689922480620155,0.8811881188118812,0.7739130434782608
0.018,0.689922480620155,0.8811881188118812,0.7739130434782608
0.236,0.8554216867469879,0.7029702970297029,0.7717391304347826
0.335,0.8831168831168831,0.6732673267326733,0.7640449438202247
0.401,0.9154929577464789,0.6435643564356436,0.7558139534883721
0.27,0.8607594936708861,0.6732673267326733,0.7555555555555555
0.376,0.8918918918918919,0.6534653465346535,0.7542857142857143
0.549,0.9264705882352942,0.6237623762376238,0.7455621301775148
0.013,0.6382978723404256,0.8910891089108911,0.743801652892562
0.013,0.6382978723404256,0.8910891089108911,0.743801652892562
0.485,0.9130434782608695,0.6237623762376238,0.7411764705882353
0.94,0.9130434782608695,0.4158415841584158,0.5714285714285714
0.937,0.8936170212765957,0.4158415841584158,0.5675675675675675
0.983,0.9166666666666666,0.32673267326732675,0.48175182481751827
0.987,0.9166666666666666,0.32673267326732675,0.48175182481751827
0.997,0.9354838709677419,0.2871287128712871,0.4393939393939394
0.997,0.9354838709677419,0.2871287128712871,0.4393939393939394
0.997,0.9354838709677419,0.2871287128712871,0.4393939393939394
0.006,0.2852664576802508,0.900990099009901,0.43333333333333335
0.006,0.2852664576802508,0.900990099009901,0.43333333333333335
0.006,0.2852664576802508,0.900990099009901,0.43333333333333335
0.006,0.2852664576802508,0.900990099009901,0.43333333333333335
0.998,0.9642857142857143,0.26732673267326734,0.4186046511627907
0.999,0.9629629629629629,0.25742574257425743,0.40625
0.999,0.9629629629629629,0.25742574257425743,0.40625
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.004,0.16515426497277677,0.900990099009901,0.2791411042944785
0.003,0.10267857142857142,0.9108910891089109,0.18455366098294884
